calendar_year,p1_1stserve_pwon,p1_1stserve_success,p1_2ndserve_pwon,p1_aces,p1_breakpoints_won,p1_doublefaults,p1_max_games_row,p1_max_points_row,p1_servgames_won,p1_tiebreaks_won,p1_total_games_won,p1_total_points_won,p2_1stserve_pwon,p2_1stserve_success,p2_2ndserve_pwon,p2_aces,p2_breakpoints_won,p2_doublefaults,p2_max_games_row,p2_max_points_row,p2_servgames_won,p2_tiebreaks_won,p2_total_games_won,p2_total_points_won,player1_1st_set,player1_2nd_set,player1_3rd_set,player1_4th_set,player1_5th_set,player1_country,player1_name,player1_seed,player1_surname,player1_total_sets,player2_1st_set,player2_2nd_set,player2_3rd_set,player2_4th_set,player2_5th_set,player2_country,player2_name,player2_seed,player2_surname,player2_total_sets,tournament,tournament_phase
2022,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,0,CAN,Peter,&nbsp,Polansky,,6,6,0,0,0,FRA,Alexandre,&nbsp,Muller,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,0,0,TPE,Tung-Lin,&nbsp,Wu,,3,7,7,0,0,ROU,Marius,&nbsp,Copil,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,ESP,Mario,&nbsp,Vilella Martinez,,3,4,0,0,0,FRA,Nicolas,&nbsp,Mahut,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,3,0,0,ECU,Emilio,&nbsp,Gomez,,7,2,6,0,0,HRV,Viktor,&nbsp,Galovic,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,7,6,0,0,0,EGY,Mohamed,&nbsp,Safwat,,6,2,0,0,0,IND,Sumit,Seeded:&nbsp21,Nagal,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,4,7,6,0,0,FRA,Enzo,&nbsp,Couacaud,,6,6,2,0,0,SRB,Danilo,&nbsp,Petrovic,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,7,6,0,0,0,FIN,Emil,Seeded:&nbsp4,Ruusuvuori,,5,2,0,0,0,ARG,Facundo,&nbsp,Mena,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,7,7,0,0,0,KAZ,Dmitry,&nbsp,Popko,,6,6,0,0,0,CHN,Zhizhen,Seeded:&nbsp25,Zhang,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,SVK,Norbert,Seeded:&nbsp10,Gombos,,2,4,0,0,0,ITA,Roberto,&nbsp,Marcora,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,3,6,4,0,0,ITA,Gianluca,Seeded:&nbsp13,Mager,,6,4,6,0,0,AUS,Max,&nbsp,Purcell,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,7,5,0,0,USA,Denis,Seeded:&nbsp7,Kudla,,7,5,7,0,0,BLR,Ilya,&nbsp,Ivashka,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,7,6,5,0,0,ITA,Paolo,Seeded:&nbsp12,Lorenzi,,6,7,7,0,0,CZE,Lukas,&nbsp,Rosol,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,ESP,Pedro,&nbsp,Martinez,,3,3,0,0,0,PER,Juan Pablo,Seeded:&nbsp29,Varillas,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,7,6,4,0,0,AUS,Luke,&nbsp,Saville,,6,7,6,0,0,SVK,Jozef,Seeded:&nbsp26,Kovalik,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,4,1,0,0,PRT,Frederico,&nbsp,Ferreira Silva,,3,6,6,0,0,SRB,Pedja,&nbsp,Krstin,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0,0,0,PRT,Joao,&nbsp,Domingues,,6,6,0,0,0,CHN,Zhe,&nbsp,Li,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,FRA,Constant,&nbsp,Lestienne,,4,4,0,0,0,AUS,Blake,&nbsp,Mott,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,2,1,0,0,DEU,Yannick,&nbsp,Hanfmann,,1,6,6,0,0,IND,Prajnesh,Seeded:&nbsp17,Gunneswaran,,,Qualification
